countrycode,country,year,gdppc,log_gdppc
DEU,Germany,2000,33367.2838,10.4153311719687
DEU,Germany,2001,34260.2876,10.4417421664722
DEU,Germany,2002,34590.9302,10.451346793735
DEU,Germany,2003,34716.4405,10.4549686433574
DEU,Germany,2004,35528.7135,10.4780964795219
DEU,Germany,2005,36205.575,10.4969683914811
DEU,Germany,2006,38014.1369,10.5457133932091
DEU,Germany,2007,39752.2067,10.590420633007
DEU,Germany,2008,40715.4342,10.6143625182187
DEU,Germany,2009,38962.9387,10.5703661835566
DEU,Germany,2010,41109.5818,10.6239965071328
DEU,Germany,2011,43189,10.6733411121789
DEU,Germany,2012,43320,10.6763697011149
DEU,Germany,2013,43413,10.6785142144061
DEU,Germany,2014,43922,10.6901706124872
DEU,Germany,2015,44293,10.6985819300038
DEU,Germany,2016,44689,10.7074826653066
DEU,Germany,2017,45619.7846,10.7280967742139
DEU,Germany,2018,46177.6187,10.7402505159661
GBR,United Kingdom,1821,3308,8.10409905614358
GBR,United Kingdom,1822,3315,8.10621290261996
GBR,United Kingdom,1823,3359,8.11939858961229
GBR,United Kingdom,1824,3492,8.15822991695949
GBR,United Kingdom,1825,3521,8.16650031915505
GBR,United Kingdom,1826,3290,8.09864284375942
GBR,United Kingdom,1827,3499,8.16023249236769
GBR,United Kingdom,1828,3461,8.14931284363535
GBR,United Kingdom,1829,3443,8.14409846333852
GBR,United Kingdom,1830,3550,8.17470288246946
GBR,United Kingdom,1831,3545,8.17329343896623
GBR,United Kingdom,1832,3612,8.19201691453688
GBR,United Kingdom,1833,3599,8.18841130807903
GBR,United Kingdom,1834,3639,8.19946419761216
GBR,United Kingdom,1835,3861,8.25868149626424
GBR,United Kingdom,1836,3937,8.27817429094374
GBR,United Kingdom,1837,3857,8.25764495820823
GBR,United Kingdom,1838,3963,8.28475659319044
GBR,United Kingdom,1839,3881,8.26384813136891
GBR,United Kingdom,1840,4018,8.29853954537488
GBR,United Kingdom,1841,3894,8.26719218593215
GBR,United Kingdom,1842,3808,8.24485939591126
GBR,United Kingdom,1843,3950,8.28147085789517
GBR,United Kingdom,1844,4245,8.35349709874545
GBR,United Kingdom,1845,4387,8.38640090116621
GBR,United Kingdom,1846,4334,8.3742461820963
GBR,United Kingdom,1847,4234,8.35090245169481
GBR,United Kingdom,1848,4361,8.38045666784277
GBR,United Kingdom,1849,4422,8.39434736141739
GBR,United Kingdom,1850,4332,8.37378460812088
GBR,United Kingdom,1851,4477,8.40670845824097
GBR,United Kingdom,1852,4626,8.43944784279139
GBR,United Kingdom,1853,4734,8.46252579007393
GBR,United Kingdom,1854,4909,8.49882553405805
GBR,United Kingdom,1855,4748,8.46547875572956
GBR,United Kingdom,1856,5013,8.5197898172635
GBR,United Kingdom,1857,5019,8.52098598965493
GBR,United Kingdom,1858,4879,8.49269555981584
GBR,United Kingdom,1859,5031,8.52337405049132
GBR,United Kingdom,1860,5086,8.53424694598207
